cluster,cluster_label,cluster_size,top_terms,representative_titles,average_centroid_distance,mean_distance_to_centroid,median_distance_to_centroid,max_distance_to_centroid,cohesion_group
0,Entrepreneurial and Growth Mindset,82,"mindset, art, new, advantage, startup, entrepreneurs, kind, commanders, entrepreneurship, breaking",A Platform Mindset | Unstoppable Mindset | The Hacker Mindset | Aliveness Mindset | The Entrepreneurial Mindset Advantage,0.409,0.7945081179082609,0.8366191955143266,1.0,Broadest
1,Organizational Behavior,56,"behavior, organizational behavior, organizational, behavior organizational, management, economics, industrial, comportement organisationnel, comportement, organisationsverhalten",Organizational Behavior | Organizational behavior | Organizational Behavior | Organizational behavior | Organizational Behavior,0.093,0.3964427613408779,0.4133533580456104,0.6932451879706902,Moderately compact
2,Team Leadership,33,"team, team leadership, leadership, effective team, nursing, remote team, effective, remote, elevate, unicorn",Team leadership | Team Leadership | Team Leadership | Team Leadership Questionnaire | Strategic Team Leadership,0.118,0.4469140610416011,0.49305205572324684,0.710623296267958,Moderately compact
3,Future Thinking and Personal Development,70,"future, think, self, excellence, war, want, states, century, united states, united",Stewards of the Future | Future Tense | Inventor of the Future | Be Your Future Self Now | Your Future Self,0.497,0.7758387657501972,0.8023435513528191,0.9331483370853905,Broadest
4,Decision Making,33,"decision, making, decision making, prise, judgment, judgment decision, statistics, décision, search, management",DECISION MAKING | Creative decision making | Judgment and decision making | The managerial decision-making process | The psychology of judgment and decision making,0.242,0.5108348744291733,0.4604451858936637,0.9302475867626534,Moderately broad
5,Leader Identity and Practice,33,"leader, driven leader, strong leader, strong, driven, visionary, toolbox, steady, turnaround, ice",You're the Leader. Now What? | We the Leader | Reinventing the Leader | The Relatable Leader | The Secure Leader,0.027,0.3806519588083015,0.4455157042815516,0.5997451406010406,Moderately compact
6,Communication,47,"communication, language, communication communication, business, business communication, interpersonal, mass, media, interpersonal communication, communication skills",InCredible Communication | Communication | Corporate communication | Communication between cultures | Business communication today,0.293,0.5342478691642155,0.5438053284638319,0.7756279902971666,Moderately broad
7,Broad Leadership and Success,185,"right, win, time, man, success, digital, build, code, organization, leader","Right Leader, Right Time | Get Pay Right | The Right Call | Left and Right of the Boom | Servant-leadership across cultures",0.684,0.877948349828548,0.8913223023865855,1.0,Broadest
8,Servant Leadership,42,"servant, servant leadership, leadership, leadership leadership, leadership servant, christianity, christian, religion, leadership christianity, leadership organizational",Servant Leadership | Servant Leadership | Servant leadership | Servant Leadership | The spirit of servant-leadership,0.1,0.39986704248009264,0.3686861368207911,0.7720926485375916,Moderately compact
9,Change Management,42,"change, change management, management, organizational, organizational change, management organizational, changement organisationnel, changement, change organizational, organisationnel",Change management | Change Management | Change | Change Proof | Strategic Change Management Strategic Change Management,0.207,0.4782476738889371,0.48107780633356584,0.832631933584548,Moderately broad
10,Leadership Development,53,"leadership, leadership development, development, teams, workplace, teams workplace, development leadership, team, leadership teams, team leadership",Leadership development | Leadership Development | Leadership development | Leadership Development | Future of Leadership Development,0.257,0.5751434797799236,0.6149408731696114,0.8983883153893875,Moderately broad
11,Organizational Culture and Trust,184,"culture, way, trust, world, shift, matters, good, big, office, conflict",Culture Is the Way | Curative Culture | Conquer Your Culture | For the Culture | Culture Matters,0.6,0.8744492872363038,0.89726504151299,1.0,Broadest
12,Information Technology Management,18,"information, information technology, technology, management, change, management information, technology management, change management, management organizational, computer",Information Technology Project Management | Project management | Information for Innovation | Enterprise Performance Management Done Right | Making sense of change management,0.244,0.3685499123747233,0.35099746983046537,0.6016579533945364,Most compact
13,General Business and Management,72,"management, business, economics, accounting, business economics, industrial, management management, leadership, industrial management, organizational",Leadership | Full range leadership development | Agile Change Management | Managing change | Routledge Companion to Innovation Management,0.371,0.6491375969629188,0.6625621388932197,0.9184865693034302,Broadest
14,Performance Management,41,"performance, performance management, management, employees, rating, management performance, employees rating, personnel, performance standards, management employees",Performance Management | Managing performance | Performance management systems | Performance management | Performance management,0.27,0.4531558425295817,0.43483442983304266,0.742806903528577,Moderately broad
15,Workplace and Generational Dynamics,27,"work, world work, world, relationships, people, jobs, meaningful, love, resilience, works",Five Generations at Work | Work Here Now | Over Work | How to Work with (Almost) Anyone | Rethinking Work,0.036,0.3802998435181811,0.4212539700748831,0.6945714870277151,Most compact
16,Leading Self and Others,23,"leading, inflation, significance, inclusion, lightly, wellness, wisely, greatness, light, disruption",Leading Giants | Leading Through | Leading with Vulnerability | Leading Yourself | Leading Relationships,0.091,0.3409940795081406,0.3915537402601398,0.5285094313091209,Most compact
17,People Management,28,"people, people management, management, personnel, personnel management, management personnel, people managers, effective people, successful people, mastering people",People Management | People Management | People management | Effective people management | Sustainable People Management,0.191,0.4487438691813343,0.4039161624852123,0.7114229333748623,Moderately compact
18,Emotional Intelligence,50,"intelligence, emotional, emotional intelligence, emotions, intelligence emotional, psychology, aspects, psychological, psychological aspects, cognition",Emotional Intelligence | Emotional Intelligence | Emotional Intelligence | Emotional Intelligence | Emotional Intelligence,0.045,0.3615695628122973,0.3923932631446515,0.7218187490168888,Most compact
19,Executive Leadership,39,"executive, executive leadership, leadership, executives, leadership executives, executive ability, leadership leadership, ability, development executive, management",Executive leadership | Police Executive Leadership | Executive leadership | Executive Leadership | Executive leadership,0.151,0.4375470317220294,0.43821647128486974,0.715369031249095,Moderately compact
20,Human Resource Management,57,"human, management, personnel, human resource, resource management, resource, management personnel, personnel management, direction, personnel direction",Human Resource management | Human resource management | Human Resource Management | Human resource management | Human Resource Management,0.042,0.342663999618498,0.3354388128835405,0.6825880565995011,Most compact
21,Innovation Management,45,"innovation, innovation management, management, innovations, technological, technological innovations, management technological, innovations management, product, business",Innovation Management | Innovation Management | Innovation management | Innovation Management in Robot Society | Revolution of Innovation Management,0.275,0.49373255497402524,0.48823335130319434,0.7263322257375318,Moderately broad
22,Power and Influence,27,"power, power change, prediction, ownership, hold, going, middle, conscious, failure, change",The Power of Mattering | On Power | You to the Power of Two | Untold Power | The Power of Regret,0.023,0.31855012767683877,0.3714248279996527,0.7061638257806211,Most compact
23,Project Management,47,"project, project management, management, management project, construction, projektmanagement, projets, engineering, guide project, business",Project management | Project Management | Project Management | Contemporary Project Management | Project Management Absolute Beginner's Guide,0.103,0.3656208888439535,0.3427166004325708,0.6955866794349266,Most compact
24,Operations Management,49,"operations, production, operations management, management, production management, management production, production operations, produktion, management operations, operations research",Operations Management | Operations management | Restaurant operations management | Production and operations management | Production and operations management,0.099,0.3406698168429441,0.33464854984120695,0.6663376598144202,Most compact
25,Transformational Leadership,108,"leadership, transformational leadership, transformational, leadership leadership, transformative leadership, transformative, transforming leadership, transforming, educational, christian leadership",Kepemimpinan = | Leadership Is Overrated | The Soil of Leadership | Leadership Starts with You | On Leadership,0.09,0.5964228853139637,0.6539335643386357,0.8117305484239313,Broadest
26,Contemporary Leadership Practice,26,"lead, ai, lead like, like, heal, conviction, live, day, confident, women",Lead With AI | Formed to Lead | Never Lead Alone | Lead Boldly | Lead Well,0.14,0.4262801379490647,0.450612960537807,0.7027077910367258,Moderately compact
27,Strategic Management and Planning,82,"strategic, planning, business, management, strategic planning, strategic management, strategy, business strategy, economics, business planning",Strategic management | Strategic management | Strategic management | Strategic management | Strategic Management,0.257,0.5000452569933072,0.5031302624258562,0.8111263297493028,Moderately broad
28,CEO and Executive Transformation,285,"ceo, transformation, life, edge, thinking, rules, influence, factor, metaverse, smart",Sideline CEO | How To Be A CEO | From Welfare To CEO | The Detour CEO | A CEO for All Seasons,0.687,0.8968008477929671,0.9092115881396081,1.0,Broadest
